,Name,Size,Brand,Sale_Price,Condition,Link
81,RARE LULULEMON PACE RIVAL CROP POP CUT BOOM JUICE,4,LULULEMON ATHLETICA,62,N/A,https://poshmark.com/LISTING/RARE-LULULEMON-PACE-RIVAL-CROP-POP-CUT-BOOM-JUICE-60EAE022163DF4B29EF037EA
82,LULULEMON WUNDER UNDER CROP LEGGINGS DARK GRAY 10,10,LULULEMON ATHLETICA,62,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-CROP-LEGGINGS-DARK-GRAY-10-611E6A5AC936AFA55CF5CD5C
83,LULULEMON ON THE FLY PANTS,2,LULULEMON ATHLETICA,75,N/A,https://poshmark.com/LISTING/LULULEMON-ON-THE-FLY-PANTS-61383FC7941F170E70CC1B64
84,"LULULEMON ALIGN™ HIGH-RISE PANT WITH POCKETS 25""",4,LULULEMON ATHLETICA,128,NWT,https://poshmark.com/LISTING/LULULEMON-ALIGN-HIGHRISE-PANT-WITH-POCKETS-25-6175F249BCBB527724D5A067
85,LULULEMON MEMBERSHIP ALIGN PANT,N/A,LULULEMON ATHLETICA,135,NWT,https://poshmark.com/LISTING/LULULEMON-MEMBERSHIP-ALIGN-PANT-6168E3A46E2846D1482242DE
86,LULULEMON RUN: INSPIRE CROP BLACK,4,LULULEMON ATHLETICA,42,N/A,https://poshmark.com/LISTING/LULULEMON-RUN-INSPIRE-CROP-BLACK-616B5107BCBB52A2A84B499D
87,NWT LULULEMON BASE PACE HR 25. SIZE 4. BLACK.,4,LULULEMON ATHLETICA,92,BOUTIQUE,https://poshmark.com/LISTING/NWT-LULULEMON-BASE-PACE-HR-25-SIZE-4-BLACK-616B08973751F594E69B8643
88,LULULEMON PURPLE & HEATHERED BLACK GATHER & CROW SZ 4,4,LULULEMON ATHLETICA,30,N/A,https://poshmark.com/LISTING/LULULEMON-PURPLE-HEATHERED-BLACK-GATHER-CROW-SZ-4-614E5182284E99552D0F963E
89,LULULEMON FLORAL MESH CROP LEGGINGS,8,LULULEMON ATHLETICA,65,N/A,https://poshmark.com/LISTING/LULULEMON-FLORAL-MESH-CROP-LEGGINGS-60D006BFC32EE62524A81E86
90,"LULULEMON ALIGN CROP 23"" DIAMOND DYE LEGGINGS SIZE 10 LARGE WOMENS NEW",10,LULULEMON ATHLETICA,80,NWT,https://poshmark.com/LISTING/LULULEMON-ALIGN-CROP-23-DIAMOND-DYE-LEGGINGS-SIZE-10-LARGE-WOMENS-NEW-6175E6FC7F80D24F49EFB71F
91,LULULEMON STREET TO STUDIO BLACK JOGGER PANTS 4,4,LULULEMON ATHLETICA,65,N/A,https://poshmark.com/LISTING/LULULEMON-STREET-TO-STUDIO-BLACK-JOGGER-PANTS-4-61557ADD81A36CAEEBC52A98
92,LULULEMON HOP TO IT CROP *FULL-ON LUXTREME,4,LULULEMON ATHLETICA,67,N/A,https://poshmark.com/LISTING/LULULEMON-HOP-TO-IT-CROP-FULLON-LUXTREME-6042673D463D4FCCC2F4B17A
93,LULULEMON 'HEAT IT UP CROP' BLEACHED CORAL XS 4,XS,LULULEMON ATHLETICA,35,N/A,https://poshmark.com/LISTING/LULULEMON-HEAT-IT-UP-CROP-BLEACHED-CORAL-XS-4-5C8553D55BBB80B5DB97B916
94,LULULEMON SCRUNCH ANKLE LEGGING,4,LULULEMON ATHLETICA,38,N/A,https://poshmark.com/LISTING/LULULEMON-SCRUNCH-ANKLE-LEGGING-608AF4AF7F80D28871C6E565
95,LULULEMON WUNDER UNDER PARALLEL STRIPE LEGGINGS 8,8,LULULEMON ATHLETICA,108,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-PARALLEL-STRIPE-LEGGINGS-8-6154F440163DF4106518FBE6
96,LULULEMON BLUE BLACK WUNDER UNDER CROP PANTS,8,LULULEMON ATHLETICA,16,N/A,https://poshmark.com/LISTING/LULULEMON-BLUE-BLACK-WUNDER-UNDER-CROP-PANTS-6177015F3751F593D985EC40
97,LULULEMON WUNDER UNDER CROP BEAUTIFUL BAROQUE,4,LULULEMON ATHLETICA,50,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-CROPBEAUTIFUL-BAROQUE-60B00708E97E489FB8940A46
98,LULULEMON SKINNY GROVE PANT – PURPLE AND LAVENDER,6,LULULEMON ATHLETICA,51,N/A,https://poshmark.com/LISTING/LULULEMON-SKINNY-GROVE-PANT-PURPLE-AND-LAVENDER-6097649D86DCBB49B45A8522
99,LULULEMON JOURNEY MESH ROCKY ROAD SAND DUNE CROP,4,LULULEMON ATHLETICA,50,N/A,https://poshmark.com/LISTING/LULULEMON-JOURNEY-MESH-ROCKY-ROAD-SAND-DUNE-CROP-60E74290800F640DED672F6F
100,"LULULEMON MILES AHEAD TIGHT 28"" BLACK LEGGINGS 2",2,LULULEMON ATHLETICA,80,N/A,https://poshmark.com/LISTING/LULULEMON-MILES-AHEAD-TIGHT-28-BLACK-LEGGINGS-2-60BF8E3D3A0DB946F54BCCA5
101,LULULEMON FULL ON LUXTREME BLACK & WHITE WUNDER UNDER PANTS,4,LULULEMON ATHLETICA,75,N/A,https://poshmark.com/LISTING/LULULEMON-FULL-ON-LUXTREME-BLACK-WHITE-WUNDER-UNDER-PANTS-616B4D02FF8304BBF04CF6DB
102,NWOT LULULEMON HIGH RISE WUNDER UNDER TIGHT,10,LULULEMON ATHLETICA,85,N/A,https://poshmark.com/LISTING/NWOT-LULULEMON-HIGH-RISE-WUNDER-UNDER-TIGHT-61436772BB593723B2C154E1
103,LULULEMON WUNDER UNDER LEGGINGS,6,LULULEMON ATHLETICA,58,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-LEGGINGS-6107606F691412EDE6CE4CCA
104,LULULEMON HIGH RISE CHARCOAL CROP LEGGINGS-8,8,LULULEMON ATHLETICA,40,N/A,https://poshmark.com/LISTING/LULULEMON-HIGH-RISE-CHARCOAL-CROP-LEGGINGS8-60309758BCDB2F7B541E82A2
105,LULULEMON TOASTY TECH TIGHT II,4,LULULEMON ATHLETICA,63,N/A,https://poshmark.com/LISTING/LULULEMON-TOASTY-TECH-TIGHT-II-61606718941F17CB0DDBAEB5
106,LULULEMON LUXTREME RUN INSPIRE CROP GRAY/PINK -6,6,LULULEMON ATHLETICA,25,N/A,https://poshmark.com/LISTING/LULULEMON-LUXTREME-RUN-INSPIRE-CROP-GRAYPINK-6-602F57F9446E5979B5B4800E
107,"NEW LULULEMON ALIGN HR PANT 28"" DIAMOND DYE OLIVE",N/A,LULULEMON ATHLETICA,110,NWT,https://poshmark.com/LISTING/NEW-LULULEMON-ALIGN-HR-PANT-28-DIAMOND-DYE-OLIVE-6125C1AC275E55E2DDBEACF0
108,LULULEMON ALIGN JOGGER CROP *23”,4,LULULEMON ATHLETICA,75,N/A,https://poshmark.com/LISTING/LULULEMON-ALIGN-JOGGER-CROP-23-61776C72633CFC2B478B4AF0
109,NWT LULULEMON BASE PACE HR 25. SIZE 4. RED MERLOT,4,LULULEMON ATHLETICA,92,BOUTIQUE,https://poshmark.com/LISTING/NWT-LULULEMON-BASE-PACE-HR-25-SIZE-4-RED-MERLOT-616B05D7D6F3B71A1EBA0035
110,LULULEMON SIZE 4 STRAIGHT LEG LEGGINGS YOGA PANTS,4,LULULEMON ATHLETICA,28,N/A,https://poshmark.com/LISTING/LULULEMON-SIZE-4-STRAIGHT-LEG-LEGGINGS-YOGA-PANTS-6117F0BC1460BB300794B9E4
111,😍HUGE SAVINGS!,M,LULULEMON ATHLETICA,"10,000",N/A,https://poshmark.com/LISTING/HUGE-SAVINGS-60CD0CB57F80D2CDFBAE1308
112,"NWT LULULEMON INVIGORATE HIGH RISE TIGHT 25""",N/A,LULULEMON ATHLETICA,112,BOUTIQUE,https://poshmark.com/LISTING/NWT-LULULEMON-INVIGORATE-HIGH-RISE-TIGHT-25-60FADCFE2CA9ABEDBEFEEC2E
113,LULULEMON WUNDER UNDER HI-RISE TIGHT,6,LULULEMON ATHLETICA,85,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-HIRISE-TIGHT-60BFBAB7920786862EC10292
114,LULU LEGGINGS💋,10,LULULEMON ATHLETICA,60,N/A,https://poshmark.com/LISTING/LULU-LEGGINGS-5FF266EE6E284681F1B8795A
